t,container,cpu_pct,mem_mb
1786011106.09,01KZB8XA83NG8G00GZJ000000W,0.0,12.359375
1786011106.09,01KZB8XA7WNG8G00GZJ000000T,0.0,12.36328125
1786011106.09,01KZB8XA7MNG8G00GZJ000000R,0.0,11.8125
1786011106.09,01KZB8XA7DNG8G00GZJ000000G,0.0,12.3515625
1786011106.09,01KZB8XA7HNG8G00GZJ000000P,0.0,11.81640625
1786011106.09,01KZB8XA7GNG8G00GZJ000000M,0.0,12.35546875
1786011106.09,01KZB8XA7BNG8G00GZJ000000C,0.0,11.8046875
1786011106.09,01KZB8XA7ENG8G00GZJ000000J,0.0,11.8125
1786011106.09,01KZB8XA7CNG8G00GZJ000000E,0.0,12.43359375
1786011106.09,01KZB8X8YDNG8G00GZJ0000005,0.0,12.51953125
1786011106.09,fnserver,0.0,111.41015625
1786011106.09,01KZB5750JNG8G00GZJ000001P,0.0,12.76171875
1786011106.09,01KZB574VGNG8G00GZJ000000W,0.0,12.74609375
1786011106.09,01KZB574VBNG8G00GZJ000000T,0.0,12.75
1786011106.09,01KZB574V5NG8G00GZJ000000P,0.0,12.734375
1786011106.09,01KZB574V0NG8G00GZJ000000H,0.0,12.73046875
1786011106.09,01KZB574V0NG8G00GZJ000000K,0.0,12.765625
1786011106.09,01KZB574V0NG8G00GZJ000000B,0.0,12.58203125
1786011106.09,01KZB574V0NG8G00GZJ000000D,0.0,12.75
1786011106.09,01KZB574V0NG8G00GZJ000000F,0.0,12.75390625
1786011106.09,01KZB574V6NG8G00GZJ000000R,0.0,12.74609375
1786011106.09,01KZB574E1NG8G00GZJ0000005,0.0,12.7421875
1786011106.1,01KZB8XA83NG8G00GZJ000000W,0.0,12.359375
1786011106.1,01KZB8XA7WNG8G00GZJ000000T,0.0,12.36328125
1786011106.1,01KZB8XA7MNG8G00GZJ000000R,0.0,11.8125
1786011106.1,01KZB8XA7DNG8G00GZJ000000G,0.0,12.3515625
1786011106.1,01KZB8XA7HNG8G00GZJ000000P,0.0,11.81640625
1786011106.1,01KZB8XA7GNG8G00GZJ000000M,0.0,12.35546875
1786011106.1,01KZB8XA7BNG8G00GZJ000000C,0.0,11.8046875
1786011106.1,01KZB8XA7ENG8G00GZJ000000J,0.0,11.8125
1786011106.1,01KZB8XA7CNG8G00GZJ000000E,0.0,12.43359375
1786011106.1,01KZB8X8YDNG8G00GZJ0000005,0.0,12.51953125
1786011106.1,fnserver,0.0,111.41015625
1786011106.1,01KZB5750JNG8G00GZJ000001P,0.0,12.76171875
1786011106.1,01KZB574VGNG8G00GZJ000000W,0.0,12.74609375
1786011106.1,01KZB574VBNG8G00GZJ000000T,0.0,12.75
1786011106.1,01KZB574V5NG8G00GZJ000000P,0.0,12.734375
1786011106.1,01KZB574V0NG8G00GZJ000000H,0.0,12.73046875
1786011106.1,01KZB574V0NG8G00GZJ000000K,0.0,12.765625
1786011106.1,01KZB574V0NG8G00GZJ000000B,0.0,12.58203125
1786011106.1,01KZB574V0NG8G00GZJ000000D,0.0,12.75
1786011106.1,01KZB574V0NG8G00GZJ000000F,0.0,12.75390625
1786011106.1,01KZB574V6NG8G00GZJ000000R,0.0,12.74609375
1786011106.1,01KZB574E1NG8G00GZJ0000005,0.0,12.7421875
1786011106.12,01KZB8XA83NG8G00GZJ000000W,0.0,12.359375
1786011106.12,01KZB8XA7WNG8G00GZJ000000T,0.0,12.36328125
1786011106.12,01KZB8XA7MNG8G00GZJ000000R,0.0,11.8125
1786011106.12,01KZB8XA7DNG8G00GZJ000000G,0.0,12.3515625
1786011106.12,01KZB8XA7HNG8G00GZJ000000P,0.0,11.81640625
1786011106.12,01KZB8XA7GNG8G00GZJ000000M,0.0,12.35546875
1786011106.12,01KZB8XA7BNG8G00GZJ000000C,0.0,11.8046875
1786011106.12,01KZB8XA7ENG8G00GZJ000000J,0.0,11.8125
1786011106.12,01KZB8XA7CNG8G00GZJ000000E,0.0,12.43359375
1786011106.12,01KZB8X8YDNG8G00GZJ0000005,0.0,12.51953125
1786011106.12,fnserver,0.0,111.16796875
1786011106.12,01KZB5750JNG8G00GZJ000001P,0.0,12.76171875
1786011106.12,01KZB574VGNG8G00GZJ000000W,0.0,12.74609375
1786011106.12,01KZB574VBNG8G00GZJ000000T,0.0,12.75
1786011106.12,01KZB574V5NG8G00GZJ000000P,0.0,12.734375
1786011106.12,01KZB574V0NG8G00GZJ000000H,0.0,12.73046875
1786011106.12,01KZB574V0NG8G00GZJ000000K,0.0,12.765625
1786011106.12,01KZB574V0NG8G00GZJ000000B,0.0,12.58203125
1786011106.12,01KZB574V0NG8G00GZJ000000D,0.0,12.75
1786011106.12,01KZB574V0NG8G00GZJ000000F,0.0,12.75390625
1786011106.12,01KZB574V6NG8G00GZJ000000R,0.0,12.74609375
1786011106.12,01KZB574E1NG8G00GZJ0000005,0.0,12.7421875
1786011106.13,01KZB8XA83NG8G00GZJ000000W,0.0,12.359375
1786011106.13,01KZB8XA7WNG8G00GZJ000000T,0.0,12.36328125
1786011106.13,01KZB8XA7MNG8G00GZJ000000R,0.0,11.8125
1786011106.13,01KZB8XA7DNG8G00GZJ000000G,0.0,12.3515625
1786011106.13,01KZB8XA7HNG8G00GZJ000000P,0.0,11.81640625
1786011106.13,01KZB8XA7GNG8G00GZJ000000M,0.0,12.35546875
1786011106.13,01KZB8XA7BNG8G00GZJ000000C,0.0,11.8046875
1786011106.13,01KZB8XA7ENG8G00GZJ000000J,0.0,11.8125
1786011106.13,01KZB8XA7CNG8G00GZJ000000E,0.0,12.43359375
1786011106.13,01KZB8X8YDNG8G00GZJ0000005,0.0,12.51953125
1786011106.13,fnserver,0.0,110.91796875
1786011106.13,01KZB5750JNG8G00GZJ000001P,0.0,12.76171875
1786011106.13,01KZB574VGNG8G00GZJ000000W,0.0,12.74609375
1786011106.13,01KZB574VBNG8G00GZJ000000T,0.0,12.75
1786011106.13,01KZB574V5NG8G00GZJ000000P,0.0,12.734375
1786011106.13,01KZB574V0NG8G00GZJ000000H,0.0,12.73046875
1786011106.13,01KZB574V0NG8G00GZJ000000K,0.0,12.765625
1786011106.13,01KZB574V0NG8G00GZJ000000B,0.0,12.58203125
1786011106.13,01KZB574V0NG8G00GZJ000000D,0.0,12.75
1786011106.13,01KZB574V0NG8G00GZJ000000F,0.0,12.75390625
1786011106.13,01KZB574V6NG8G00GZJ000000R,0.0,12.74609375
1786011106.13,01KZB574E1NG8G00GZJ0000005,0.0,12.7421875
1786011106.14,01KZB8XA83NG8G00GZJ000000W,0.0,12.359375
1786011106.14,01KZB8XA7WNG8G00GZJ000000T,0.0,12.36328125
1786011106.14,01KZB8XA7MNG8G00GZJ000000R,0.0,11.8125
1786011106.14,01KZB8XA7DNG8G00GZJ000000G,0.0,12.3515625
1786011106.14,01KZB8XA7HNG8G00GZJ000000P,0.0,11.81640625
1786011106.14,01KZB8XA7GNG8G00GZJ000000M,0.0,12.35546875
1786011106.14,01KZB8XA7BNG8G00GZJ000000C,0.0,11.8046875
1786011106.14,01KZB8XA7ENG8G00GZJ000000J,0.0,11.8125
1786011106.14,01KZB8XA7CNG8G00GZJ000000E,0.0,12.43359375
1786011106.14,01KZB8X8YDNG8G00GZJ0000005,0.0,12.51953125
1786011106.14,fnserver,0.0,110.91796875
1786011106.14,01KZB5750JNG8G00GZJ000001P,0.0,12.76171875
1786011106.14,01KZB574VGNG8G00GZJ000000W,0.0,12.74609375
1786011106.14,01KZB574VBNG8G00GZJ000000T,0.0,12.75
1786011106.14,01KZB574V5NG8G00GZJ000000P,0.0,12.734375
1786011106.14,01KZB574V0NG8G00GZJ000000H,0.0,12.73046875
1786011106.14,01KZB574V0NG8G00GZJ000000K,0.0,12.765625
1786011106.14,01KZB574V0NG8G00GZJ000000B,0.0,12.58203125
1786011106.14,01KZB574V0NG8G00GZJ000000D,0.0,12.75
1786011106.14,01KZB574V0NG8G00GZJ000000F,0.0,12.75390625
1786011106.14,01KZB574V6NG8G00GZJ000000R,0.0,12.74609375
1786011106.14,01KZB574E1NG8G00GZJ0000005,0.0,12.7421875
1786011106.15,01KZB8XA83NG8G00GZJ000000W,0.0,12.359375
1786011106.15,01KZB8XA7WNG8G00GZJ000000T,0.0,12.36328125
1786011106.15,01KZB8XA7MNG8G00GZJ000000R,0.0,11.8125
1786011106.15,01KZB8XA7DNG8G00GZJ000000G,0.0,12.3515625
1786011106.15,01KZB8XA7HNG8G00GZJ000000P,0.0,11.81640625
1786011106.15,01KZB8XA7GNG8G00GZJ000000M,0.0,12.35546875
1786011106.15,01KZB8XA7BNG8G00GZJ000000C,0.0,11.8046875
1786011106.15,01KZB8XA7ENG8G00GZJ000000J,0.0,11.8125
1786011106.15,01KZB8XA7CNG8G00GZJ000000E,0.0,12.43359375
1786011106.15,01KZB8X8YDNG8G00GZJ0000005,0.0,12.51953125
1786011106.15,fnserver,0.0,110.91796875
1786011106.15,01KZB5750JNG8G00GZJ000001P,0.0,12.76171875
1786011106.15,01KZB574VGNG8G00GZJ000000W,0.0,12.74609375
1786011106.15,01KZB574VBNG8G00GZJ000000T,0.0,12.75
1786011106.15,01KZB574V5NG8G00GZJ000000P,0.0,12.734375
1786011106.15,01KZB574V0NG8G00GZJ000000H,0.0,12.73046875
1786011106.15,01KZB574V0NG8G00GZJ000000K,0.0,12.765625
1786011106.15,01KZB574V0NG8G00GZJ000000B,0.0,12.58203125
1786011106.15,01KZB574V0NG8G00GZJ000000D,0.0,12.75
1786011106.15,01KZB574V0NG8G00GZJ000000F,0.0,12.75390625
1786011106.15,01KZB574V6NG8G00GZJ000000R,0.0,12.74609375
1786011106.15,01KZB574E1NG8G00GZJ0000005,0.0,12.7421875
1786011106.17,01KZB8XA83NG8G00GZJ000000W,0.0,12.359375
1786011106.17,01KZB8XA7WNG8G00GZJ000000T,0.0,12.36328125
1786011106.17,01KZB8XA7MNG8G00GZJ000000R,0.0,11.8125
1786011106.17,01KZB8XA7DNG8G00GZJ000000G,0.0,12.3515625
1786011106.17,01KZB8XA7HNG8G00GZJ000000P,0.0,11.81640625
1786011106.17,01KZB8XA7GNG8G00GZJ000000M,0.0,12.35546875
1786011106.17,01KZB8XA7BNG8G00GZJ000000C,0.0,11.8046875
1786011106.17,01KZB8XA7ENG8G00GZJ000000J,0.0,11.8125
1786011106.17,01KZB8XA7CNG8G00GZJ000000E,0.0,12.43359375
1786011106.17,01KZB8X8YDNG8G00GZJ0000005,0.0,12.51953125
1786011106.17,fnserver,0.0,110.91796875
1786011106.17,01KZB5750JNG8G00GZJ000001P,0.0,12.76171875
1786011106.17,01KZB574VGNG8G00GZJ000000W,0.0,12.74609375
1786011106.17,01KZB574VBNG8G00GZJ000000T,0.0,12.75
1786011106.17,01KZB574V5NG8G00GZJ000000P,0.0,12.734375
1786011106.17,01KZB574V0NG8G00GZJ000000H,0.0,12.73046875
1786011106.17,01KZB574V0NG8G00GZJ000000K,0.0,12.765625
1786011106.17,01KZB574V0NG8G00GZJ000000B,0.0,12.58203125
1786011106.17,01KZB574V0NG8G00GZJ000000D,0.0,12.75
1786011106.17,01KZB574V0NG8G00GZJ000000F,0.0,12.75390625
1786011106.17,01KZB574V6NG8G00GZJ000000R,0.0,12.74609375
1786011106.17,01KZB574E1NG8G00GZJ0000005,0.0,12.7421875
1786011106.18,01KZB8XA83NG8G00GZJ000000W,0.0,12.359375
1786011106.18,01KZB8XA7WNG8G00GZJ000000T,0.0,12.36328125
1786011106.18,01KZB8XA7MNG8G00GZJ000000R,0.0,11.8125
1786011106.18,01KZB8XA7DNG8G00GZJ000000G,0.0,12.3515625
1786011106.18,01KZB8XA7HNG8G00GZJ000000P,0.0,11.81640625
1786011106.18,01KZB8XA7GNG8G00GZJ000000M,0.0,12.35546875
1786011106.18,01KZB8XA7BNG8G00GZJ000000C,0.0,11.8046875
1786011106.18,01KZB8XA7ENG8G00GZJ000000J,0.0,11.8125
1786011106.18,01KZB8XA7CNG8G00GZJ000000E,0.0,12.43359375
1786011106.18,01KZB8X8YDNG8G00GZJ0000005,0.0,12.51953125
1786011106.18,fnserver,1.253715139741203,110.91796875
1786011106.18,01KZB5750JNG8G00GZJ000001P,0.0,12.76171875
1786011106.18,01KZB574VGNG8G00GZJ000000W,0.0,12.74609375
1786011106.18,01KZB574VBNG8G00GZJ000000T,0.0,12.75
1786011106.18,01KZB574V5NG8G00GZJ000000P,0.0,12.734375
1786011106.18,01KZB574V0NG8G00GZJ000000H,0.0,12.73046875
1786011106.18,01KZB574V0NG8G00GZJ000000K,0.0,12.765625
1786011106.18,01KZB574V0NG8G00GZJ000000B,0.0,12.58203125
1786011106.18,01KZB574V0NG8G00GZJ000000D,0.0,12.75
1786011106.18,01KZB574V0NG8G00GZJ000000F,0.0,12.75390625
1786011106.18,01KZB574V6NG8G00GZJ000000R,0.0,12.74609375
1786011106.18,01KZB574E1NG8G00GZJ0000005,0.0,12.7421875
1786011106.2,01KZB8XA83NG8G00GZJ000000W,0.0,12.359375
1786011106.2,01KZB8XA7WNG8G00GZJ000000T,0.0,12.36328125
1786011106.2,01KZB8XA7MNG8G00GZJ000000R,0.0,11.8125
1786011106.2,01KZB8XA7DNG8G00GZJ000000G,0.0,12.3515625
1786011106.2,01KZB8XA7HNG8G00GZJ000000P,0.0,11.81640625
1786011106.2,01KZB8XA7GNG8G00GZJ000000M,0.0,12.35546875
1786011106.2,01KZB8XA7BNG8G00GZJ000000C,0.0,11.8046875
1786011106.2,01KZB8XA7ENG8G00GZJ000000J,0.0,11.8125
1786011106.2,01KZB8XA7CNG8G00GZJ000000E,0.0,12.43359375
1786011106.2,01KZB8X8YDNG8G00GZJ0000005,0.0,12.51953125
1786011106.2,fnserver,0.0,110.91796875
1786011106.2,01KZB5750JNG8G00GZJ000001P,0.0,12.76171875
1786011106.2,01KZB574VGNG8G00GZJ000000W,0.0,12.74609375
