t_ns,core,freq_khz
1785961220430085022,6,1210266
1785961220430085022,7,1212296
1785961220530902785,0,1857451
1785961220530902785,1,1834238
1785961220530902785,2,2100000
1785961220530902785,3,2100000
1785961220530902785,4,2100000
1785961220530902785,5,1847826
1785961220530902785,6,2100000
1785961220530902785,7,2033790
1785961220631360185,0,2224640
1785961220631360185,1,1404134
1785961220631360185,2,2100000
1785961220631360185,3,2041949
1785961220631360185,4,2240429
1785961220631360185,5,1144595
1785961220631360185,6,2099978
1785961220631360185,7,2299307
1785961220731929697,0,711607
1785961220731929697,1,1284608
1785961220731929697,2,1550931
1785961220731929697,3,1302478
1785961220731929697,4,1477099
1785961220731929697,5,1600000
1785961220731929697,6,1444882
1785961220731929697,7,1458453
1785961220832512591,0,884352
1785961220832512591,1,1242042
1785961220832512591,2,1401359
1785961220832512591,3,1345347
1785961220832512591,4,862931
1785961220832512591,5,865816
1785961220832512591,6,894459
1785961220832512591,7,1676267
1785961220933139992,0,2132962
1785961220933139992,1,2200000
1785961220933139992,2,2199977
1785961220933139992,3,2111139
1785961220933139992,4,2199932
1785961220933139992,5,2199905
1785961220933139992,6,2200023
1785961220933139992,7,2118327
1785961221033443981,0,735257
1785961221033443981,1,1259272
1785961221033443981,2,750311
1785961221033443981,3,1300000
1785961221033443981,4,567061
1785961221033443981,5,842307
1785961221033443981,6,703514
1785961221033443981,7,1309343
1785961221134051434,0,4000040
1785961221134051434,1,1110398
1785961221134051434,2,919685
1785961221134051434,3,3999959
1785961221134051434,4,4000000
1785961221134051434,5,864241
1785961221134051434,6,686934
1785961221134051434,7,4000000
1785961221234348769,0,4000000
1785961221234348769,1,4000040
1785961221234348769,2,4000000
1785961221234348769,3,4000099
1785961221234348769,4,3999861
1785961221234348769,5,4000000
1785961221234348769,6,3999945
1785961221234348769,7,4000000
1785961221334700496,0,4000000
1785961221334700496,1,4000000
1785961221334700496,2,396765
1785961221334700496,3,4000040
1785961221334700496,4,4006779
1785961221334700496,5,4000000
1785961221334700496,6,625284
1785961221334700496,7,4000000
1785961221435166398,0,3705961
1785961221435166398,1,3699936
1785961221435166398,2,3700000
1785961221435166398,3,3700037
1785961221435166398,4,3700000
1785961221435166398,5,3700000
1785961221435166398,6,3700000
1785961221435166398,7,3700121
1785961221539769372,0,3500000
1785961221539769372,1,3500035
1785961221539769372,2,3500000
1785961221539769372,3,3500000
1785961221539769372,4,3500035
1785961221539769372,5,3500000
1785961221539769372,6,3500000
1785961221539769372,7,3500000
1785961221640159834,0,3500000
1785961221640159834,1,2766758
1785961221640159834,2,3500000
1785961221640159834,3,3500000
1785961221640159834,4,3500000
1785961221640159834,5,2960256
1785961221640159834,6,3500000
1785961221640159834,7,3500000
1785961221740505239,0,3500038
1785961221740505239,1,3500000
1785961221740505239,2,3461854
1785961221740505239,3,3500035
1785961221740505239,4,3500000
1785961221740505239,5,3500000
1785961221740505239,6,3447084
1785961221740505239,7,3500000
1785961221840918571,0,3300000
1785961221840918571,1,3300000
1785961221840918571,2,3300000
1785961221840918571,3,3300209
1785961221840918571,4,3300000
1785961221840918571,5,3300000
1785961221840918571,6,3300000
1785961221840918571,7,3300000
1785961221941371311,0,3418451
1785961221941371311,1,3410874
1785961221941371311,2,3418400
1785961221941371311,3,3418806
1785961221941371311,4,3445777
1785961221941371311,5,3418474
1785961221941371311,6,3418439
1785961221941371311,7,3418397
1785961222042161140,0,1210465
1785961222042161140,1,3500000
1785961222042161140,2,3500070
1785961222042161140,3,3476765
1785961222042161140,4,3115833
1785961222042161140,5,3476443
1785961222042161140,6,3476853
1785961222042161140,7,3476755
1785961222143474472,0,3465861
1785961222143474472,1,3424087
1785961222143474472,2,3461303
1785961222143474472,3,3413989
1785961222143474472,4,3461411
1785961222143474472,5,3469306
1785961222143474472,6,3404039
1785961222143474472,7,3461275
1785961222243800506,0,3400000
1785961222243800506,1,3280567
1785961222243800506,2,3400000
1785961222243800506,3,3400000
1785961222243800506,4,3400000
1785961222243800506,5,3400000
1785961222243800506,6,3387881
1785961222243800506,7,3400000
1785961222344263228,0,3500000
1785961222344263228,1,3500000
1785961222344263228,2,3500000
1785961222344263228,3,3500000
1785961222344263228,4,3499964
1785961222344263228,5,3500035
1785961222344263228,6,3499964
1785961222344263228,7,3500035
1785961222444727901,0,3500000
1785961222444727901,1,3499944
1785961222444727901,2,3500035
1785961222444727901,3,3499964
1785961222444727901,4,3500000
1785961222444727901,5,3500035
1785961222444727901,6,3499964
1785961222444727901,7,3499964
1785961222545169731,0,3299966
1785961222545169731,1,3300000
1785961222545169731,2,3300133
1785961222545169731,3,3300033
1785961222545169731,4,3300000
1785961222545169731,5,3300000
1785961222545169731,6,3300000
1785961222545169731,7,3300000
1785961222645712149,0,3500000
1785961222645712149,1,3500000
1785961222645712149,2,3500035
1785961222645712149,3,3500000
1785961222645712149,4,3500000
1785961222645712149,5,3499964
1785961222645712149,6,3500000
1785961222645712149,7,3500000
1785961222746128532,0,3500035
1785961222746128532,1,3500000
1785961222746128532,2,3500000
1785961222746128532,3,3500000
1785961222746128532,4,3499964
1785961222746128532,5,3499756
1785961222746128532,6,3500000
1785961222746128532,7,3500155
1785961222847411793,0,3400000
1785961222847411793,1,3399965
1785961222847411793,2,3400000
1785961222847411793,3,3399965
1785961222847411793,4,3399965
1785961222847411793,5,3400000
1785961222847411793,6,3400000
1785961222847411793,7,3399938
1785961222947871266,0,3500035
1785961222947871266,1,3499964
1785961222947871266,2,3500000
1785961222947871266,3,3357506
1785961222947871266,4,3500000
1785961222947871266,5,3500000
1785961222947871266,6,3333675
1785961222947871266,7,3379043
1785961223048194936,0,3400000
1785961223048194936,1,3400051
1785961223048194936,2,3400000
1785961223048194936,3,3400000
1785961223048194936,4,3400000
1785961223048194936,5,3400034
1785961223048194936,6,3400034
1785961223048194936,7,3400034
1785961223148568969,0,3400000
1785961223148568969,1,3400000
1785961223148568969,2,3400034
1785961223148568969,3,3400000
1785961223148568969,4,3400057
1785961223148568969,5,3399913
1785961223148568969,6,3400000
1785961223148568969,7,3400000
1785961223248897275,0,3500000
1785961223248897275,1,3500035
1785961223248897275,2,3500035
1785961223248897275,3,3500455
1785961223248897275,4,3500000
1785961223248897275,5,3499964
1785961223248897275,6,3500000
1785961223248897275,7,3500035
1785961223349298288,0,3400000
1785961223349298288,1,3400000
1785961223349298288,2,3399930
1785961223349298288,3,3400034
1785961223349298288,4,3400000
1785961223349298288,5,3399949
1785961223349298288,6,3400000
1785961223349298288,7,3400034
1785961223449755744,0,3499964
1785961223449755744,1,3500000
1785961223449755744,2,3500000
1785961223449755744,3,3500035
1785961223449755744,4,3500000
1785961223449755744,5,3500044
1785961223449755744,6,3500035
1785961223449755744,7,3500035
1785961223550233398,0,3577489
1785961223550233398,1,3589294
1785961223550233398,2,3500000
1785961223550233398,3,3500035
1785961223550233398,4,3499964
1785961223550233398,5,3500035
1785961223550233398,6,3500000
1785961223550233398,7,3500000
1785961223650625691,0,3066503
1785961223650625691,1,3492557
1785961223650625691,2,3477211
1785961223650625691,3,3496251
1785961223650625691,4,3271253
1785961223650625691,5,3477013
1785961223650625691,6,3477158
1785961223650625691,7,3477215
1785961223751027743,0,3500064
1785961223751027743,1,3500000
1785961223751027743,2,3500000
1785961223751027743,3,3500000
1785961223751027743,4,3500000
1785961223751027743,5,3500035
1785961223751027743,6,3499906
1785961223751027743,7,3500000
1785961223851304871,0,3300000
1785961223851304871,1,3299966
1785961223851304871,2,3300000
1785961223851304871,3,3300000
1785961223851304871,4,3300000
1785961223851304871,5,3300000
1785961223851304871,6,3300000
1785961223851304871,7,3299966
1785961223951783163,0,3482666
1785961223951783163,1,3482465
1785961223951783163,2,3426797
1785961223951783163,3,3482684
1785961223951783163,4,3480880
1785961223951783163,5,3482511
1785961223951783163,6,3482803
1785961223951783163,7,3466375
1785961224052108481,0,3400033
1785961224052108481,1,3399926
1785961224052108481,2,3400000
1785961224052108481,3,3400000
1785961224052108481,4,3399964
1785961224052108481,5,3400034
1785961224052108481,6,3400000
1785961224052108481,7,3400000
1785961224152564995,0,3500000
1785961224152564995,1,3500000
1785961224152564995,2,3499964
1785961224152564995,3,3500000
1785961224152564995,4,3500000
1785961224152564995,5,3499945
1785961224152564995,6,3500000
1785961224152564995,7,3500000
1785961224252996573,0,3400034
1785961224252996573,1,3400000
1785961224252996573,2,3400000
1785961224252996573,3,3400000
1785961224252996573,4,3400000
1785961224252996573,5,3400000
1785961224252996573,6,3400000
1785961224252996573,7,3400000
1785961224353412878,0,3300000
1785961224353412878,1,3300066
1785961224353412878,2,3272569
1785961224353412878,3,3300053
1785961224353412878,4,3300033
1785961224353412878,5,3300000
1785961224353412878,6,3293125
1785961224353412878,7,3300000
1785961224453860212,0,3400000
1785961224453860212,1,3400000
1785961224453860212,2,3400000
1785961224453860212,3,3400000
1785961224453860212,4,3400000
1785961224453860212,5,3399965
1785961224453860212,6,3400034
1785961224453860212,7,3400000
1785961224554296079,0,3600000
1785961224554296079,1,3600000
1785961224554296079,2,3600000
1785961224554296079,3,3600036
1785961224554296079,4,2927910
1785961224554296079,5,3600000
1785961224554296079,6,3600000
1785961224554296079,7,3599963
1785961224654684159,0,3300000
1785961224654684159,1,3300000
1785961224654684159,2,3300105
1785961224654684159,3,3300033
1785961224654684159,4,3299966
1785961224654684159,5,3300000
1785961224654684159,6,3300000
1785961224654684159,7,3296989
1785961224755132608,0,3400000
1785961224755132608,1,3400000
1785961224755132608,2,3275595
1785961224755132608,3,3400000
1785961224755132608,4,3399965
1785961224755132608,5,3400034
1785961224755132608,6,3340141
1785961224755132608,7,3400000
1785961224855576395,0,3300033
1785961224855576395,1,3300000
1785961224855576395,2,3300000
1785961224855576395,3,3300033
1785961224855576395,4,3300163
1785961224855576395,5,3300000
1785961224855576395,6,3300000
1785961224855576395,7,3300000
1785961224956008351,0,3400000
1785961224956008351,1,3400000
1785961224956008351,2,3400000
1785961224956008351,3,3400039
1785961224956008351,4,3400000
1785961224956008351,5,3399965
1785961224956008351,6,3400000
1785961224956008351,7,3400000
1785961225056417820,0,3299965
1785961225056417820,1,3300000
1785961225056417820,2,3300000
1785961225056417820,3,3300066
1785961225056417820,4,3300066
1785961225056417820,5,3300033
1785961225056417820,6,3299966
1785961225056417820,7,3300000
1785961225157784441,0,3200032
1785961225157784441,1,3400000
1785961225157784441,2,2911405
1785961225157784441,3,3400000
1785961225157784441,4,3200000
1785961225157784441,5,3400034
1785961225157784441,6,3399939
1785961225157784441,7,3400000
1785961225258199231,0,3500051
1785961225258199231,1,3500000
1785961225258199231,2,3500035
1785961225258199231,3,3500000
1785961225258199231,4,3500000
1785961225258199231,5,3500046
1785961225258199231,6,3500000
1785961225258199231,7,3500042
1785961225358633435,0,3300000
1785961225358633435,1,3300000
1785961225358633435,2,3300000
1785961225358633435,3,3300000
1785961225358633435,4,3300000
1785961225358633435,5,3300000
1785961225358633435,6,3300000
1785961225358633435,7,3299965
1785961225459579914,0,3299966
1785961225459579914,1,3300000
1785961225459579914,2,3300000
1785961225459579914,3,3168854
1785961225459579914,4,3299939
1785961225459579914,5,3300000
1785961225459579914,6,3300000
1785961225459579914,7,3211657
1785961225560055877,0,3400000
1785961225560055877,1,3282731
1785961225560055877,2,3400000
1785961225560055877,3,3399965
1785961225560055877,4,3400000
1785961225560055877,5,2739902
1785961225560055877,6,3399965
1785961225560055877,7,3400540
1785961225660662266,0,3384763
1785961225660662266,1,3385299
1785961225660662266,2,3360723
1785961225660662266,3,3385719
1785961225660662266,4,3330791
1785961225660662266,5,3385254
1785961225660662266,6,3350871
1785961225660662266,7,3385286
1785961225761083531,0,3300000
1785961225761083531,1,3300000
1785961225761083531,2,3300000
1785961225761083531,3,3300000
1785961225761083531,4,3300000
1785961225761083531,5,3300000
1785961225761083531,6,3300000
1785961225761083531,7,3300000
1785961225861522735,0,3300000
1785961225861522735,1,3300000
1785961225861522735,2,3300000
1785961225861522735,3,3300000
1785961225861522735,4,3300033
1785961225861522735,5,3300000
1785961225861522735,6,3300000
1785961225861522735,7,3300000
1785961225962007142,0,3400067
1785961225962007142,1,3399837
1785961225962007142,2,3158546
1785961225962007142,3,3400000
1785961225962007142,4,3400000
1785961225962007142,5,3400000
1785961225962007142,6,3145673
1785961225962007142,7,3400034
1785961226063778244,0,3300000
1785961226063778244,1,3300000
1785961226063778244,2,3300043
1785961226063778244,3,3300000
1785961226063778244,4,3299966
1785961226063778244,5,3300000
1785961226063778244,6,3300000
1785961226063778244,7,3300000
1785961226165406949,0,3300000
1785961226165406949,1,3300000
1785961226165406949,2,3300000
1785961226165406949,3,3303780
1785961226165406949,4,3300000
1785961226165406949,5,3299966
1785961226165406949,6,3300000
1785961226165406949,7,3300033
1785961226266085780,0,3300000
1785961226266085780,1,3300079
1785961226266085780,2,3300000
1785961226266085780,3,3300000
1785961226266085780,4,3300000
1785961226266085780,5,3300000
1785961226266085780,6,3299963
1785961226266085780,7,3299965
1785961226366669581,0,3499964
1785961226366669581,1,3500035
1785961226366669581,2,3500035
1785961226366669581,3,3500035
1785961226366669581,4,3499964
1785961226366669581,5,3514767
1785961226366669581,6,3500000
1785961226366669581,7,3500000
1785961226467501674,0,3400000
1785961226467501674,1,3400034
1785961226467501674,2,3399965
1785961226467501674,3,3400000
1785961226467501674,4,3400000
1785961226467501674,5,3400068
1785961226467501674,6,3400000
1785961226467501674,7,3400000
1785961226567834047,0,3300000
1785961226567834047,1,3299966
1785961226567834047,2,3300000
1785961226567834047,3,3300033
1785961226567834047,4,3300000
1785961226567834047,5,3299966
1785961226567834047,6,3300000
1785961226567834047,7,3300000
1785961226668267695,0,3300000
1785961226668267695,1,3300077
1785961226668267695,2,3300062
1785961226668267695,3,3300000
1785961226668267695,4,3300000
1785961226668267695,5,3300000
1785961226668267695,6,3300000
1785961226668267695,7,3300000
1785961226768714247,0,3300000
1785961226768714247,1,3170129
1785961226768714247,2,3296482
1785961226768714247,3,3300000
1785961226768714247,4,3300000
1785961226768714247,5,3300000
1785961226768714247,6,3299966
1785961226768714247,7,3300000
1785961226869168296,0,3300000
1785961226869168296,1,3300000
1785961226869168296,2,3300033
1785961226869168296,3,3300000
1785961226869168296,4,3300000
1785961226869168296,5,3299966
1785961226869168296,6,3300033
1785961226869168296,7,3300000
1785961226969620410,0,3300000
1785961226969620410,1,3300033
1785961226969620410,2,3300000
1785961226969620410,3,3299895
1785961226969620410,4,3299957
1785961226969620410,5,3299966
1785961226969620410,6,3300000
1785961226969620410,7,3300033
1785961227070218680,0,3300000
1785961227070218680,1,3299966
1785961227070218680,2,3300033
1785961227070218680,3,3300000
1785961227070218680,4,3300040
1785961227070218680,5,3300000
1785961227070218680,6,3300000
1785961227070218680,7,3299951
1785961227171433927,0,3400000
1785961227171433927,1,3399720
1785961227171433927,2,3399965
1785961227171433927,3,3399965
1785961227171433927,4,3400000
1785961227171433927,5,3400000
1785961227171433927,6,3400000
1785961227171433927,7,3400034
1785961227271854262,0,3399690
1785961227271854262,1,3400000
1785961227271854262,2,3400000
1785961227271854262,3,3400000
1785961227271854262,4,3400000
1785961227271854262,5,3400000
1785961227271854262,6,3400000
1785961227271854262,7,3400000
1785961227372279884,0,3400071
1785961227372279884,1,3400034
1785961227372279884,2,3400034
1785961227372279884,3,3400050
1785961227372279884,4,3400053
1785961227372279884,5,3400000
1785961227372279884,6,3400000
1785961227372279884,7,3400034
1785961227472686481,0,3378215
1785961227472686481,1,3378500
1785961227472686481,2,3378585
1785961227472686481,3,3378499
1785961227472686481,4,3279754
1785961227472686481,5,3336820
1785961227472686481,6,3378616
1785961227472686481,7,3378925
1785961227573081545,0,3400000
1785961227573081545,1,3399965
1785961227573081545,2,3400000
1785961227573081545,3,3400000
1785961227573081545,4,3399863
1785961227573081545,5,3399905
1785961227573081545,6,3400000
1785961227573081545,7,3400034
1785961227673484799,0,3100000
1785961227673484799,1,3100000
1785961227673484799,2,3099968
1785961227673484799,3,3100000
1785961227673484799,4,3100000
1785961227673484799,5,3100080
1785961227673484799,6,3099968
1785961227673484799,7,3100000
1785961227773833155,0,3200000
1785961227773833155,1,3200000
1785961227773833155,2,3200000
1785961227773833155,3,3199831
1785961227773833155,4,3200000
1785961227773833155,5,3200000
1785961227773833155,6,3200000
1785961227773833155,7,3200000
1785961227874495461,0,3400000
1785961227874495461,1,3400000
1785961227874495461,2,3400000
1785961227874495461,3,3400000
1785961227874495461,4,3400000
1785961227874495461,5,3400000
1785961227874495461,6,3399942
1785961227874495461,7,3399966
1785961227974939428,0,3599963
1785961227974939428,1,1674899
1785961227974939428,2,1423388
1785961227974939428,3,1722891
1785961227974939428,4,3600036
1785961227974939428,5,1564417
1785961227974939428,6,924831
1785961227974939428,7,973229
1785961228075255612,0,4000000
1785961228075255612,1,3999856
1785961228075255612,2,4000070
1785961228075255612,3,3999894
1785961228075255612,4,4000099
1785961228075255612,5,3999888
1785961228075255612,6,4000059
1785961228075255612,7,4000000
